id;first_name;last_name;phone_number;code;password;status
1;Mya;Greenholt;"175844207";payment methodologies Applications;Dynamic Pizza;REJECTED
2;Felicita;Hermiston;"662872745";methodology programming;hacking one-to-one;DELETED
3;Nedra;Gulgowski;"989204925728";Swiss cross-platform purple;Ecuador;ACTIVE
4;Ole;Parisian;"978333346";FTP;AvonXX;ACTIVE
5;Domenico;Ullrich;"988062566055";Fantastic Avon Account;e-tailers Cambridgeshire JSON;BLOCKED
6;Dawson;Haley;"297555562";copy;compressing systems;ACTIVE
7;Wilmer;Hane;"898713614512";European SMTP transmit;magenta;BLOCKED
8;Kian;Kulas;"652729260";Avon Rhode;Illinois Borders Infrastructure;PENDING
9;Kali;Hegmann;"989246809743";parse Chicken;New up Loan;ACTIVE
10;Llewellyn;Predovic;"683728020";hard;GB Buckinghamshire;ACTIVE
